[2025-10-30 18:13:36] [INFO    ] discord.client: logging in using static token
[2025-10-30 18:13:37] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-10-30 18:13:37] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-10-30 18:13:37] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1433399152565555260', 'username': 'Vyntrax Dominion', 'avatar': '69d8e9d490ab66ff4f450214bb62c4e4', 'discriminator': '7386', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': '534082e3b630c913a8f3526e408290c0', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-10-30 18:13:38] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-10-30 18:13:38] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-10-30 18:13:38] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1433399152565555260', 'name': 'Vyntrax Dominion', 'icon': '69d8e9d490ab66ff4f450214bb62c4e4', 'description': '', 'type': None, 'bot': {'id': '1433399152565555260', 'username': 'Vyntrax Dominion', 'avatar': '69d8e9d490ab66ff4f450214bb62c4e4', 'discriminator': '7386', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': '534082e3b630c913a8f3526e408290c0', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '3cf7c8b4bc8ddca48c0648f8f6632717553627b247debd93206da6b8787a3dfc', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '1352440514498269255', 'username': 'redberry03373', 'avatar': '98faaf04688a078ad710409a33bb5a2c', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': 0, 'global_name': 'Muhammad Hamid Ali Khan', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#000000', 'clan': {'identity_guild_id': '473760315293696010', 'identity_enabled': True, 'tag': 'HTB', 'badge': '5fbf677de9ff9e82c779b5801a2c6cc0'}, 'primary_guild': {'identity_guild_id': '473760315293696010', 'identity_enabled': True, 'tag': 'HTB', 'badge': '5fbf677de9ff9e82c779b5801a2c6cc0'}}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 224, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2025-10-30 18:13:38] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-10-30 18:13:38] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-b-2qq9",{"micros":0.0}]']}}
[2025-10-30 18:13:38] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-10-30 18:13:38] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
